Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fr.mos.json	79452	-	0	0	0	0	0	0	26	72	0	0	0	0	0	0	0	1	0	0	40	233	273	0	0	0	16	0	2
fsh-generated/resources/StructureDefinition-ActiviteEnseignement.json	8598	4	0	10	0	0	0	0	0	4543	0	0	0	0	0	0	0	0	0	0	5	76	568	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-ActiviteSociale.json	14284	2	0	18	0	0	0	0	0	2524	0	0	0	0	0	0	0	1	0	0	5	119	175	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ActiviteSoinAutorisee.json	19018	3	0	17	1	0	0	0	0	846	0	0	0	0	0	0	0	0	0	0	8	111	132	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ActiviteSoumiseReconnaissance.json	13596	3	0	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	5	93	146	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Adresse.json	26297	5	0	17	0	0	0	0	0	568	0	0	0	0	0	0	0	1	0	0	10	189	190	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-Agenda.json	6301	3	0	19	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	2	78	99	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-AidantDemarche.json	3696	3	0	12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	36	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ArretTravail.json	4751	2	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	41	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Attestation.json	2517	2	0	25	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	1	27	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-AutorisationExercice.json	5775	1	0	12	0	0	0	0	0	864	0	0	0	0	0	0	0	0	0	0	2	45	78	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-AutreActiviteSoumiseAutorisation.json	11841	2	0	18	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	67	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-AutreDiplomeObtenu.json	2128	3	0	11	1	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	1	26	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BoiteLettreMSS.json	6930	3	0	12	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	2	60	77	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-CapaciteAccueil.json	2384	3	0	11	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	27	58	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CapaciteActiviteExercee.json	3974	3	0	14	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	54	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CapaciteDiplome.json	3654	2	0	12	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	1	30	65	0	0	0	1	0	0
